@RELATION WhereIsSmartphone
@ATTRIBUTE X_AVERAGE NUMERIC 
@ATTRIBUTE X_VARIANCE NUMERIC 
@ATTRIBUTE X_STD NUMERIC 
@ATTRIBUTE X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_AVERAGE NUMERIC 
@ATTRIBUTE Y_VARIANCE NUMERIC 
@ATTRIBUTE Y_STD NUMERIC 
@ATTRIBUTE Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_AVERAGE NUMERIC 
@ATTRIBUTE Z_VARIANCE NUMERIC 
@ATTRIBUTE Z_STD NUMERIC 
@ATTRIBUTE Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_AVERAGE NUMERIC 
@ATTRIBUTE |V|_VARIANCE NUMERIC 
@ATTRIBUTE |V|_STD NUMERIC 
@ATTRIBUTE |V|_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_X_Y NUMERIC 
@ATTRIBUTE RATIO_STD_X_Z NUMERIC 
@ATTRIBUTE RATIO_STD_X_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Y_Z NUMERIC 
@ATTRIBUTE RATIO_STD_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_STD_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_X_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_|V| NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_|V| NUMERIC 
@ATTRIBUTE X_Y_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_Y_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_Y NUMERIC 
@ATTRIBUTE CORRELATION_X_Z NUMERIC 
@ATTRIBUTE CORRELATION_X_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Y_Z NUMERIC 
@ATTRIBUTE CORRELATION_Y_|V| NUMERIC 
@ATTRIBUTE CORRELATION_Z_|V| NUMERIC 
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GRAVITY_Y_GRAVITY_Z_GRAVITY_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {SINISTRA_PANTALONI,DESTRA_PANTALONI,TASCA_GIACCA_BASSA,TASCA_GIACCA_ALTA}
@DATA
6.1349,25.2411,5.0241,20.5835,-0.4172,2.1142,12.2863,3.5052,13.0151,-0.2472,6.1349,25.2411,5.0241,20.5835,-0.4172,10.6547,28.988,5.3841,19.4414,0.0576,2.9018,1,0.5758,0.3446,0.1984,0.5758,1.4333,1,0.9331,0.6977,0.651,0.9331,2.0544,1,0.8707,0.4868,0.4238,0.8707,2.3491,1,-5.0957,0.4257,-2.1693,-5.0957,1.3918,1,0.704,0.7185,0.5058,0.704,1.5815,1,1.0588,0.6323,0.6695,1.0588,0.0893,15.7082,-0.8166,1,0.8743,-0.8166,-0.5199,0.8743,5.1504,10.844,3.293,8.1976,0.0664,2.1763,17.5003,4.1833,10.7014,-0.6085,5.7995,2.9928,1.73,4.7914,0.3931,2.3665,0.8881,0.3753,0.7872,1.9035,2.4181,0.6196,3.6233,5.8474,-0.1439,0.1877,-1.3042,1.3198,1.1121,0.8426,0.766,1.7109,2.2335,0.0806,15.3135,-0.8923,-0.919,0.9772,1100,0,0,0,1,DESTRA_PANTALONI
5.5298,31.2724,5.5922,21.2989,-0.1607,2.1872,16.5517,4.0684,14.4236,-0.509,5.5298,31.2724,5.5922,21.2989,-0.1607,10.3913,37.0581,6.0875,22.3845,0.1486,2.5283,1,0.5322,0.3955,0.2105,0.5322,1.3745,1,0.9186,0.7275,0.6683,0.9186,1.8894,1,0.8439,0.5293,0.4466,0.8439,0.606,1,-0.7549,1.6502,-1.2458,-0.7549,1.9198,1,0.698,0.5209,0.3636,0.698,1.4767,1,0.9515,0.6772,0.6444,0.9515,0.0812,15.7991,-0.8522,1,0.9472,-0.8522,-0.7418,0.9472,4.4461,11.8074,3.4362,8.9535,-0.0091,3.4382,11.3865,3.3744,10.8182,-0.6921,6.2361,2.5624,1.6007,4.9072,0.3926,1.2931,0.713,0.5513,1.0183,2.1466,2.108,1.037,4.608,4.4437,0.0183,-0.0255,-1.3952,1.3878,1.0983,0.7914,0.8276,1.8245,2.2045,0.084,15.1393,-0.8148,-0.9361,0.9396,1100,0,0,0,1,DESTRA_PANTALONI
2.3621,2.5862,1.6082,6.4112,-0.1831,6.7029,3.508,1.873,7.7114,0.2964,2.3621,2.5862,1.6082,6.4112,-0.1831,7.6997,5.4835,2.3417,9.4229,0.2954,0.3524,1,0.3068,2.8376,0.8705,0.3068,0.8586,1,0.6868,1.1646,0.7998,0.6868,0.7372,1,0.4716,1.3564,0.6397,0.4716,-0.3054,1,-0.2511,-3.2747,0.8223,-0.2511,0.4944,1,0.4052,2.0226,0.8195,0.4052,0.8314,1,0.6804,1.2028,0.8184,0.6804,0.0749,11.545,0.5332,1,0.7698,0.5332,0.9445,0.7698,2.0679,4.8091,2.193,5.6766,-0.0399,6.6155,0.3709,0.609,2.1236,0.7283,6.5241,0.4491,0.6702,2.0386,0.7297,0.3126,0.317,1.014,3.6006,3.2722,0.9088,12.9647,10.7074,0.8259,-0.0383,-0.0396,1.0346,0.6984,0.7239,1.0365,2.6731,2.7846,1.0417,0.0952,15.258,-0.7469,-0.6662,0.0422,1100,0,0,0,1,DESTRA_PANTALONI
2.0027,2.8636,1.6922,10.6941,-0.1395,5.1798,5.4177,2.3276,10.8761,0.1396,2.0027,2.8636,1.6922,10.6941,-0.1395,6.1514,8.1568,2.856,15.4602,0.1565,0.3866,1,0.3256,2.5864,0.8421,0.3256,0.727,1,0.5925,1.3755,0.815,0.5925,0.5286,1,0.3511,1.8919,0.6642,0.3511,-0.7415,1,-0.4562,-1.3487,0.6152,-0.4562,0.7424,1,0.512,1.3469,0.6897,0.512,0.9833,1,0.6917,1.017,0.7035,0.6917,0.059,9.4128,0.5298,1,0.7577,0.5298,0.9454,0.7577,1.9145,0.665,0.8155,3.3592,0.0575,4.6122,0.7401,0.8603,3.1221,0.5095,8.3402,0.3432,0.5858,2.572,0.7183,0.4151,0.2296,0.553,0.948,1.3921,1.4685,0.8986,1.938,2.1566,0.0632,0.0313,0.4945,0.5599,0.3904,0.6972,1.0759,1.3061,1.2139,0.0972,14.8669,0.1507,-0.448,-0.9397,1100,0,0,0,1,DESTRA_PANTALONI
4.3951,15.7792,3.9723,14.0878,-0.0181,2.0155,17.1401,4.1401,13.3202,-0.6009,4.3951,15.7792,3.9723,14.0878,-0.0181,8.4114,20.6421,4.5434,16.1184,0.1785,2.1806,1,0.5225,0.4586,0.2396,0.5225,0.9595,1,0.8743,1.0422,0.9112,0.8743,0.9206,1,0.7644,1.0863,0.8303,0.7644,0.0501,1,-0.0715,19.9528,-1.4272,-0.0715,1.663,1,0.7052,0.6013,0.424,0.7052,1.0576,1,0.874,0.9455,0.8264,0.874,0.0653,13.0261,-0.6175,1,0.964,-0.6175,-0.4714,0.964,3.321,4.8225,2.196,6.2501,0.1611,2.6258,14.3623,3.7898,11.2169,-1.0535,7.6294,0.9178,0.958,2.8198,0.6698,1.2648,0.4353,0.3442,0.5795,2.2923,3.9559,0.3358,5.2546,15.6493,-0.2086,0.2098,-1.0058,1.3639,0.8723,0.6396,0.5572,2.2165,3.9779,0.0873,15.3656,-0.8286,-0.8836,0.9651,1100,0,0,0,1,DESTRA_PANTALONI
5.5158,21.833,4.6726,15.8836,-0.0109,3.6466,10.0336,3.1676,13.0805,-0.1652,5.5158,21.833,4.6726,15.8836,-0.0109,9.9101,29.6351,5.4438,18.6003,0.1658,1.5126,1,0.5566,0.6611,0.368,0.5566,1.4751,1,0.8583,0.6779,0.5819,0.8583,2.176,1,0.7367,0.4596,0.3386,0.7367,0.0921,1,-0.0462,10.8563,-0.5014,-0.0462,1.3996,1,0.7047,0.7145,0.5035,0.7047,1.2143,1,0.8539,0.8235,0.7032,0.8539,0.0861,14.9956,-0.7027,1,0.9398,-0.7027,-0.4604,0.9398,4.0295,10.0826,3.1753,8.2728,0.051,4.3951,11.2279,3.3508,10.7213,-0.4469,6.1957,0.9825,0.9912,3.2655,0.5521,0.9168,0.6504,0.7094,0.9476,3.2035,3.3805,0.898,10.2624,11.4281,-0.1343,0.1105,-0.8228,1.1765,1.1958,1.0165,0.7716,2.5334,3.2832,0.086,15.2098,-0.9442,-0.7467,0.8831,1100,0,0,0,1,DESTRA_PANTALONI
3.8065,12.4828,3.5331,11.2428,-0.0003,2.6466,11.4971,3.3907,13.4362,-0.8792,3.8065,12.4828,3.5331,11.2428,-0.0003,7.7185,12.8703,3.5875,12.8044,0.2509,1.4383,1,0.4932,0.6953,0.3429,0.4932,1.042,1,0.9848,0.9597,0.9451,0.9848,1.0857,1,0.9699,0.921,0.8933,0.9699,0.0006,1,-0.0009,1679.84,-1.466,-0.0009,1.5719,1,0.6575,0.6362,0.4183,0.6575,0.8368,1,0.878,1.1951,1.0493,0.878,0.06,11.6777,-0.8591,1,0.9821,-0.8591,-0.8936,0.9821,3.4893,9.8471,3.138,8.0964,0.0464,3.5387,9.4882,3.0803,11.7479,-0.8228,7.0393,2.6491,1.6276,4.131,0.5278,0.986,0.4957,0.5027,1.0187,1.928,1.8925,1.0378,3.7172,3.5817,-0.0744,0.0854,-1.1483,1.3174,0.9705,0.7366,0.6892,1.9599,2.8439,0.0862,14.9932,-0.5529,-0.9692,0.3905,1100,0,0,0,1,DESTRA_PANTALONI
6.0752,21.5198,4.6389,18.1111,-0.0495,-0.5887,31.0926,5.5761,17.0637,-0.9135,6.0752,21.5198,4.6389,18.1111,-0.0495,10.5706,36.5561,6.0462,24.7977,0.0136,-10.3188,1,0.5747,-0.0969,-0.0557,0.5747,0.8319,1,0.7673,1.202,0.9222,0.7673,0.6921,1,0.5887,1.4448,0.8505,0.5887,0.1049,1,-2.5044,9.5329,-23.8738,-2.5044,1.9351,1,0.6864,0.5168,0.3547,0.6864,1.0614,1,0.7304,0.9422,0.6881,0.7304,0.0906,17.482,-0.7309,1,0.9842,-0.7309,-0.6746,0.9842,4.8952,5.0932,2.2568,6.8745,0.1863,1.1395,28.0321,5.2945,13.3327,-1.3546,5.9173,2.7596,1.6612,4.3354,0.4525,4.2958,0.8273,0.1926,0.4263,1.3585,3.1872,0.1817,1.8456,10.158,-0.2052,0.4392,-2.1403,1.492,1.0668,0.715,0.5156,1.5857,3.0753,0.0817,15.9448,-0.5739,-0.7696,0.9469,1100,0,0,0,1,DESTRA_PANTALONI
5.9864,42.7485,6.5382,25.5997,-0.2133,-0.3643,40.6167,6.3731,25.8639,-0.7427,5.9864,42.7485,6.5382,25.5997,-0.2133,11.5663,64.1413,8.0088,29.646,0.0476,-16.4308,1,0.5176,-0.0609,-0.0315,0.5176,1.0259,1,0.8164,0.9747,0.7958,0.8164,1.0525,1,0.6665,0.9501,0.6332,0.6665,0.4083,1,-3.0346,2.4494,-7.433,-3.0346,1.4217,1,0.6778,0.7034,0.4768,0.6778,0.9898,1,0.8635,1.0103,0.8724,0.8635,0.0874,18.5921,-0.7795,1,0.9135,-0.7795,-0.595,0.9135,4.8087,8.5553,2.9249,8.9381,0.0177,1.427,40.0107,6.3254,15.8772,-0.9127,4.4147,2.9452,1.7162,5.1994,0.2197,3.3697,1.0892,0.3233,0.4624,1.7043,3.6858,0.2138,2.9048,13.5849,-0.0213,0.1102,-5.1764,1.0962,1.3656,1.2458,0.5629,1.7191,3.0537,0.0689,15.3586,-0.6715,-0.6958,0.8964,1100,0,0,0,1,DESTRA_PANTALONI
3.8034,21.6567,4.6537,17.6754,-0.1668,2.0197,29.2524,5.4086,20.5021,-0.8672,3.8034,21.6567,4.6537,17.6754,-0.1668,9.0208,24.2025,4.9196,21.0011,0.0331,1.8832,1,0.4216,0.531,0.2239,0.4216,0.8604,1,0.9459,1.1622,1.0994,0.9459,0.7403,1,0.8948,1.3507,1.2087,0.8948,0.2654,1,-3.5103,3.7684,-13.2285,-3.5103,1.3796,1,0.6974,0.7248,0.5055,0.6974,0.8621,1,0.8416,1.1599,0.9762,0.8416,0.0611,13.6645,-0.659,1,0.9077,-0.659,-0.4779,0.9077,2.8551,8.0318,2.834,8.5097,-0.0627,3.2717,24.4297,4.9426,15.5012,-1.0856,6.6158,1.1102,1.0536,3.2455,0.5886,0.8727,0.4316,0.4945,0.5734,2.6897,4.691,0.3288,7.2347,22.0052,0.0622,-0.1082,-1.7375,1.0774,1.015,0.9421,0.549,2.622,4.7762,0.0842,15.1637,-0.6421,-0.7502,0.8426,1100,0,0,0,1,DESTRA_PANTALONI
