@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_AVERAGE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_VARIANCE NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_STD NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_MAGNETIC_FIELD_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_STD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Y_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_X_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE CORRELATION_Y_MAGNETIC_FIELD_Z_MAGNETIC_FIELD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-42.9964,45.1825,6.7218,54,?,29.2608,102.026,10.1008,34.75,0.2527,-11.4892,11.3308,3.3661,16.5,?,-1.4694,3.7423,-2.5468,0.6655,1.9969,3.0007,0.4429,3.9876,9.0043,-4.5957,3.2727,-0.7121,0,1,0,1.554,3.2727,2.1061,0.3832,83.7464,-0.494,0.469,-0.8525,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0745,6.4086,2.5315,17.2085,-0.7764,-0.3118,31.023,5.5698,31.8493,-1.3526,-0.3885,12.9756,3.6022,20.0072,-1.3682,5.8509,16.4283,4.0532,20.3873,0.0292,0.239,0.1919,-0.0127,0.8027,-0.0533,-0.0664,0.4545,0.7028,0.6246,1.5462,1.3742,0.8887,0.2066,0.4939,0.3901,2.3909,1.8884,0.7898,0.4107,0.6507,-12.2702,1.5842,-29.8741,-18.858,0.7156,1.1467,0.4613,1.6025,0.6447,0.4023,0.5403,0.8601,0.8441,1.5919,1.5622,0.9814,0.0035,8.7239,0.7021,0.2459,-0.086,0.5177,-0.501,-0.3655,-23.6359,120.3904,10.9723,46.75,?,10.4275,34.9381,5.9108,21.0625,-0.0401,60.9253,54.3299,7.3709,24.6875,0.6336,-2.2667,-0.3879,0.1712,1.8563,1.4886,0.8019,3.4458,2.2159,0.6431,57.5385,-1.0952,-0.019,0,0,0.3006,2.2196,1.8937,0.8532,0.4596,95.0877,0.6346,0.9705,0.5865,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.3163,0.3257,0.5707,2.0975,-0.5213,-1.8889,4.2903,2.0713,7.2231,-86.1282,1.0139,2.6049,1.614,6.119,-0.1389,2.4755,5.7886,2.406,8.1126,0.0137,-0.1674,0.3119,0.1278,-1.863,-0.763,0.4096,0.2755,0.3536,0.2372,1.2834,0.8609,0.6708,0.0759,0.125,0.0563,1.647,0.7412,0.45,0.1007,0.9629,-6.3959,9.5657,-63.5392,-6.6424,16.6314,0.2566,0.1676,0.0154,0.0101,0.6532,0.2904,0.3428,0.2585,1.1804,0.8904,0.7543,0.0657,3.5808,-0.4708,0.1956,0.462,-0.7219,-0.9722,0.8413,-21.5172,50.7678,7.1252,33.9375,?,-12.3893,17.5431,4.1884,20.6875,?,-15.053,284.7328,16.874,54.4375,-0.9529,1.7368,1.4294,0.823,1.7011,0.4223,0.2482,2.8939,0.1783,0.0616,1.6405,1.2776,0.7788,1,0,0,1.6405,0.6234,0.38,0.2216,55.3297,0.9431,-0.8782,-0.6759,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.085,0.797,0.8928,6.6825,-1.1525,-0.359,7.5125,2.7409,23.3033,-3.953,0.5808,1.3204,1.1491,10.2501,-1.7444,2.2016,5.2563,2.2927,19.6199,0.014,-0.2368,0.1464,0.0386,-0.6181,-0.1631,0.2638,0.3257,0.7769,0.3894,2.3853,1.1955,0.5012,0.1061,0.6036,0.1516,5.6897,1.4292,0.2512,0.1924,0.5492,-12.8729,2.8546,-66.914,-23.4406,0.6599,0.8312,0.156,1.2597,0.2365,0.1877,0.2868,0.6519,0.3406,2.2735,1.1877,0.5224,0.0046,3.2074,-0.5835,-0.4943,0.2655,0.4783,-0.7362,-0.3015,-22.6252,3.6068,1.8992,31.9,?,-12.6397,3.4307,1.8522,15.2,?,34.7007,1.6113,1.2694,8.4,0.7699,1.79,-0.652,-0.3643,1.0253,1.4961,1.4592,1.0513,2.2384,2.1291,2.0987,-1.1352,-0.5409,1,0,0,2.0987,3.7976,1.8095,0.2868,69.9656,-0.8326,0.9149,-0.7024,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.3061,0.0159,0.126,0.6834,-0.0137,-0.4075,0.0741,0.2723,1.4507,-2.8374,-0.216,0.0114,0.107,0.5401,-6.009,0.594,0.055,0.2345,1.1342,0.0805,-0.7512,-1.4173,0.5153,1.8866,-0.6859,-0.3636,0.4627,1.1777,0.5373,2.5454,1.1613,0.4562,0.2141,1.3869,0.2887,6.4792,1.3487,0.2082,0.0086,0.02,-0.0933,2.3166,-10.8058,-4.6645,1.7833,8.7492,0.5466,4.9061,0.3065,0.0625,0.4711,1.2654,0.6026,2.6861,1.279,0.4762,0.0037,0.9463,-0.5556,-0.0345,0.7227,0.2711,-0.9278,-0.3428,40.9608,0.0323,0.1798,0.8,0.9806,-10.3388,0.0213,0.1458,10.7373,?,6.2458,0.0798,0.2825,1.2389,0.8173,-3.9618,6.5581,-1.6553,1.2329,0.6364,0.5162,1.52,0.405,0.2664,-3.7722,7.3106,-1.938,0,6.0926,0,0.0745,0.6457,8.6669,0.2847,57.5455,0.1863,-0.1376,0.1241,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0667,1.8713,1.368,7.1966,-0.9218,-0.2266,2.2315,1.4938,8.3775,-1.3026,-0.4387,2.2597,1.5032,8.5313,-1.9698,1.9849,2.671,1.6343,6.7861,0.005,0.2945,0.1521,-0.0336,0.5166,-0.1142,-0.221,0.9157,0.91,0.837,0.9938,0.914,0.9198,0.8386,0.8281,0.7006,0.9875,0.8355,0.846,0.7283,0.61,-100.2955,0.8375,-137.7023,-164.4175,1.0293,1.3036,0.5491,1.2665,0.5334,0.4212,0.859,0.8436,1.0605,0.982,1.2345,1.2572,0.0033,3.1363,0.8464,0.2114,0.0873,0.6173,-0.1106,-0.3511,-21.1336,33.8868,5.8212,36.4965,?,-26.7599,15.934,3.9917,33.1118,?,-23.8184,298.941,17.2899,65.2483,-1.0676,0.7897,0.8873,1.1235,1.4583,0.3367,0.2309,2.1267,0.1134,0.0533,1.1022,1.0833,0.9828,1,0,0,1.1022,0.5593,0.5075,0.2755,76.4208,-0.4562,-0.8878,0.7548,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.3327,1.7526,1.3239,7.7143,-0.5516,-0.201,3.492,1.8687,9.9298,-1.4142,-0.4183,3.3473,1.8296,9.2481,-1.7053,2.424,3.0423,1.7442,8.0859,0.0245,-1.6551,-0.7953,0.1372,0.4805,-0.0829,-0.1726,0.7085,0.7236,0.759,1.0214,1.0714,1.0489,0.5019,0.5236,0.5761,1.0432,1.1478,1.1003,0.4715,0.4705,-13.5028,0.9978,-28.6375,-28.7013,1.2087,1.4544,0.5998,1.2032,0.4962,0.4124,0.7769,0.8342,0.954,1.0737,1.2281,1.1437,0.0038,3.7502,-0.135,0.1446,-0.0138,0.4948,-0.17,-0.2652,-47.1235,79.3482,8.9078,64.3546,?,13.0397,8.2831,2.878,7.7739,0.4971,-12.1817,75.6595,8.6982,28.7039,-1.5753,-3.6139,3.8684,-1.0704,3.0951,1.0241,0.3309,9.5795,1.0488,0.1095,-8.375,3.6653,-0.4376,0,0,1.3869,8.2783,2.242,0.2708,0.3337,74.3851,0.9733,-0.9277,-0.8485,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
0.1683,0.008,0.0894,0.4388,-0.2415,-0.4524,0.0234,0.1528,0.7962,?,-0.18,0.0042,0.065,0.3667,?,0.5299,0.0202,0.142,0.6281,0.2247,-0.372,-0.935,0.3176,2.5134,-0.8537,-0.3397,0.5853,1.3756,0.63,2.3502,1.0764,0.458,0.3426,1.8922,0.3969,5.5236,1.1586,0.2097,0.1072,0.2328,-0.4689,2.1716,-4.3743,-2.0143,0,0,0.4363,1,0,0,0.5511,1.1968,0.6986,2.1716,1.2677,0.5838,0.0034,0.8028,-0.3149,0.0945,0.457,-0.1893,-0.9685,0.0282,38.2089,0.0248,0.1576,0.63,0.9836,-15.4089,0.0907,0.3012,15.863,?,15.1935,0.0043,0.0656,0.311,0.9799,-2.4797,2.5148,-1.0142,0.5231,2.4021,4.5917,0.2737,5.77,21.0841,-2.3831,2.4905,-1.0451,0,2.4811,0,0.0397,2.0257,51.0065,0.2927,68.8113,0.7703,-0.3838,-0.3244,71.6245,0.0131,0.1146,0.2797,0.9961,TASCA_DESTRA_DAVANTI_PANTALONI
0.0348,6.1095,2.4717,14.6524,-1.5026,-1.6006,14.0253,3.745,23.2268,-2.5881,-0.2934,10.2622,3.2035,17.8371,-0.964,3.9856,17.161,4.1426,18.4806,0.0077,-0.0217,-0.1186,0.0087,5.4549,-0.4016,-0.0736,0.66,0.7716,0.5967,1.1691,0.904,0.7733,0.4356,0.5953,0.356,1.3667,0.8173,0.598,0.5251,1.0048,-61.6756,1.9135,-117.4504,-61.379,0.9045,0.6447,0.3144,0.7128,0.3476,0.4877,0.6308,0.8215,0.7928,1.3022,1.2568,0.9652,0.0108,6.3009,0.158,-0.1907,-0.098,0.7846,-0.7626,-0.344,-24.3976,49.2001,7.0143,41.687,?,-18.8027,87.7342,9.3667,42.45,-2.9588,6.2839,250.2196,15.8183,55.327,-0.106,1.2976,-3.8826,-2.9922,0.7489,0.4434,0.5921,0.5608,0.1966,0.3506,1.3139,7.861,5.9828,0,0,0.2144,0.982,0.7535,0.7673,0.2082,55.1119,-0.7177,-0.9227,0.534,73.1358,0,0.0001,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.433,0.0298,0.1725,1.0026,-0.0108,-0.5789,0.1903,0.4362,3.5472,-4.179,-0.1134,0.03,0.1731,0.9559,-0.8907,0.8137,0.1233,0.3512,2.7707,0.0468,-0.748,-3.8203,0.5322,5.107,-0.7114,-0.1393,0.3955,0.9967,0.4913,2.52,1.242,0.4929,0.1564,0.9935,0.2413,6.3505,1.5426,0.2429,0.0038,0.0239,-0.079,6.3563,-21.0483,-3.3114,1.4481,1.9618,0.3412,1.3547,0.2356,0.1739,0.2826,1.0489,0.3619,3.7109,1.2803,0.345,0.0049,1.2092,0.0724,-0.1142,0.2455,-0.6687,-0.8511,0.542,-7.4468,0.6901,0.8307,9.9117,?,39.375,0.5,0.7071,2.6618,0.9338,9.6593,3.7451,1.9352,6.6785,0.5288,-0.1891,-0.7709,4.0764,1.1748,0.4293,0.3654,1.3801,0.1843,0.1335,-0.2639,-1.3223,5.0106,0,0,2.8376,3.7236,1.4841,0.3986,0.273,56.4811,0.7952,-0.8976,-0.9212,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
