@RELATION WhereIsSmartphone
@ATTRIBUTE XL_R_AVERAGE NUMERIC 
@ATTRIBUTE XL_R_VARIANCE NUMERIC 
@ATTRIBUTE XL_R_STD NUMERIC 
@ATTRIBUTE XL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_AVERAGE NUMERIC 
@ATTRIBUTE YL_R_VARIANCE NUMERIC 
@ATTRIBUTE YL_R_STD NUMERIC 
@ATTRIBUTE YL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_AVERAGE NUMERIC 
@ATTRIBUTE ZL_R_VARIANCE NUMERIC 
@ATTRIBUTE ZL_R_STD NUMERIC 
@ATTRIBUTE ZL_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_R_STD NUMERIC 
@ATTRIBUTE |V|L_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_STD_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_YL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_ZL_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_R_YL_R_ZL_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_YL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_XL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_ZL_R NUMERIC 
@ATTRIBUTE CORRELATION_YL_R_|V|L_R NUMERIC 
@ATTRIBUTE CORRELATION_ZL_R_|V|L_R NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {GIACCA,PANTALONI}
@DATA
-0.1611,3.8616,1.9651,11.2595,-0.6377,-0.9042,7.6919,2.7734,15.4236,-1.2225,0.4374,18.8795,4.3451,21.0955,-0.9584,4.8681,7.7697,2.7874,11.2812,0.0526,0.1781,-0.3682,-0.0331,-2.0671,-0.1857,0.0899,0.7085,0.4523,0.705,0.6383,0.995,1.5588,0.502,0.2045,0.497,0.4074,0.99,2.4299,0.5168,0.4247,-7.0035,0.8218,-13.5518,-16.4907,0.9907,0.6383,0.5774,0.6442,0.5828,0.9046,0.73,0.5337,0.9981,0.7311,1.3672,1.87,0.0035,7.0496,0.038,-0.4241,0.1172,0.3816,-0.3975,-0.0088,?,?,?,?,?,?,?,?,?,?,PANTALONI
0.3426,4.0567,2.0141,13.0028,-1.017,-0.9689,8.8273,2.9711,14.9467,-1.7554,-0.4418,5.0786,2.2536,12.0058,-1.2384,3.7741,4.9703,2.2294,11.6999,0.0097,-0.3536,-0.7754,0.0908,2.1929,-0.2567,-0.1171,0.6779,0.8937,0.9034,1.3184,1.3327,1.0108,0.4596,0.7988,0.8162,1.7381,1.776,1.0218,0.6885,0.987,-57.101,1.4336,-82.9342,-57.8508,1.1884,1.2019,0.5457,1.0114,0.4591,0.454,0.8699,1.083,1.1114,1.245,1.2775,1.0261,0.004,5.9173,-0.6685,0.0305,0.3784,0.694,-0.3487,-0.1479,?,?,?,?,?,?,?,?,?,?,PANTALONI
0.2346,7.3188,2.7053,15.9974,-0.7217,-0.0765,19.8752,4.4582,25.3419,-1.2682,-0.0038,13.6302,3.6919,14.8244,-1.1258,5.7341,8.0046,2.8292,17.4113,0.0355,-3.0689,-61.1084,0.0409,19.9124,-0.0133,-0.0007,0.6068,0.7328,0.9562,1.2075,1.5757,1.3049,0.3682,0.537,0.9143,1.4582,2.483,1.7028,0.4733,0.8542,-10.4522,1.8048,-22.0852,-12.2367,0.8316,1.3324,0.5147,1.6021,0.6189,0.3863,0.6313,1.0791,0.9188,1.7095,1.4555,0.8514,0.0009,8.8872,-0.6819,-0.019,0.2271,0.6873,-0.1645,-0.0508,?,?,?,?,?,?,?,?,?,?,PANTALONI
0.2093,9.6659,3.109,24.0089,-0.3552,0.495,12.6533,3.5571,25.0715,-0.4422,0.1332,21.5612,4.6434,29.1037,-0.4152,5.2559,16.5627,4.0697,28.3094,0.0163,0.4229,1.5711,0.0398,3.715,0.0942,0.0253,0.874,0.6696,0.7639,0.7661,0.874,1.141,0.7639,0.4483,0.5836,0.5869,0.764,1.3018,0.8186,0.7369,-13.4058,0.9002,-16.3764,-18.1912,1.0191,0.8615,0.6156,0.8453,0.6041,0.7146,0.9576,0.8249,0.8481,0.8615,0.8856,1.0281,0.0038,7.9924,0.5792,0.2931,0.3912,0.1507,0.3274,0.5872,?,?,?,?,?,?,?,?,?,?,PANTALONI
-1.5346,2.1918,1.4805,4.6046,-16.5587,0.3369,0.8453,0.9194,4.2149,-0.449,0.5995,4.084,2.0209,8.3219,-0.9341,2.7289,2.5018,1.5817,4.8776,0.0714,-4.5556,-2.5597,-0.5623,0.5619,0.1234,0.2197,1.6103,0.7326,0.936,0.4549,0.5813,1.2777,2.593,0.5367,0.8761,0.207,0.3379,1.6324,3.3249,1.0804,-11.5868,0.3249,-3.4849,-10.7246,0.0902,0.0609,0.0499,0.6761,0.5538,0.8192,1.0924,0.5533,0.944,0.5065,0.8641,1.7061,0.051,4.0344,0.0456,-0.3642,-0.7279,0.5019,0.1684,0.4385,?,?,?,?,?,?,?,?,?,?,PANTALONI
0.2435,0.3348,0.5787,2.7356,-0.4473,-0.7039,9.5544,3.091,12.7511,-0.9017,-0.6728,7.6128,2.7591,11.5549,-0.6657,3.8697,3.5348,1.8801,9.2982,0.038,-0.346,-0.3619,0.0629,1.0461,-0.1819,-0.1739,0.1872,0.2097,0.3078,1.1203,1.6441,1.4675,0.035,0.044,0.0947,1.255,2.703,2.1537,0.1398,0.1831,-2.3037,1.3093,-16.474,-12.5822,0.2819,0.2725,0.1956,0.9665,0.6937,0.7177,0.2145,0.2367,0.2942,1.1035,1.3713,1.2427,0.0066,5.8215,0.5114,0.3982,-0.0458,0.9889,0.1383,0.1575,?,?,?,?,?,?,?,?,?,?,PANTALONI
-0.4189,1.8726,1.3684,5.6957,-1.617,-0.7184,3.3295,1.8247,10.3213,-3.5322,0.2695,3.0279,1.7401,7.6495,-0.3258,2.4406,3.0376,1.7429,9.3448,0.0177,0.5831,-1.5546,-0.1717,-2.6659,-0.2944,0.1104,0.7499,0.7864,0.7852,1.0486,1.047,0.9984,0.5624,0.6184,0.6165,1.0996,1.0961,0.9968,0.4375,1.8722,-20.8667,4.2792,-47.6944,-11.1457,0.9557,0.3772,0.2288,0.3947,0.2394,0.6065,0.5518,0.7446,0.6095,1.3493,1.1045,0.8186,0.0058,3.7923,0.6371,-0.1612,-0.4398,-0.609,-0.7965,0.7609,?,?,?,?,?,?,?,?,?,?,PANTALONI
0.7382,3.4273,1.8513,9.175,-0.7842,-1.963,15.5381,3.9418,28.9527,-0.6332,-0.1891,14.8341,3.8515,23.2221,-0.4616,5.3141,9.994,3.1613,22.9512,0.0382,-0.3761,-3.9031,0.1389,10.3789,-0.3694,-0.0356,0.4697,0.4807,0.5856,1.0235,1.2469,1.2183,0.2206,0.231,0.3429,1.0475,1.5547,1.4843,0.3593,0.5499,-4.42,1.5306,-12.3033,-8.0384,0.2901,0.3237,0.2155,1.1158,0.7429,0.6658,0.3169,0.3951,0.3998,1.2468,1.2615,1.0118,0.0075,8.0447,-0.6156,0.0969,0.2207,0.0893,-0.3213,0.2958,?,?,?,?,?,?,?,?,?,?,PANTALONI
-0.3194,0.1574,0.3967,1.4568,-3.055,-0.3203,1.4258,1.1941,6.2937,-0.9165,-0.0277,0.9529,0.9762,5.1308,-0.6119,1.334,0.962,0.9808,4.5702,0.0055,0.9971,11.5401,-0.2394,11.5737,-0.2401,-0.0207,0.3323,0.4064,0.4045,1.2232,1.2174,0.9952,0.1104,0.1652,0.1636,1.4963,1.4821,0.9905,0.3647,0.5635,-43.3986,1.5452,-119.0097,-77.0175,0.1094,0.1129,0.0782,1.0317,0.7146,0.6927,0.2315,0.2839,0.3188,1.2267,1.3771,1.1227,0.0016,2.04,-0.0902,-0.2704,-0.384,0.9753,-0.031,0.0525,?,?,?,?,?,?,?,?,?,?,PANTALONI
0.2337,4.2604,2.0641,11.2868,-0.6289,-0.0625,29.4655,5.4282,30.0425,-0.7053,0.3982,23.6836,4.8666,26.2549,-0.7935,6.7076,12.6344,3.5545,17.8968,0.0732,-3.7389,0.5868,0.0348,-0.157,-0.0093,0.0594,0.3802,0.4241,0.5807,1.1154,1.5271,1.3691,0.1446,0.1799,0.3372,1.2441,2.3322,1.8745,0.3507,0.3751,-3.0815,1.0696,-8.7865,-8.2145,0.3933,0.4733,0.3588,1.2035,0.9123,0.758,0.3757,0.4299,0.6307,1.1443,1.6786,1.467,0.0017,9.7064,0.0993,-0.1471,-0.0145,0.3092,0.1959,0.3477,?,?,?,?,?,?,?,?,?,?,PANTALONI
