@RELATION WhereIsSmartphone
@ATTRIBUTE XL_AVERAGE NUMERIC 
@ATTRIBUTE XL_VARIANCE NUMERIC 
@ATTRIBUTE XL_STD NUMERIC 
@ATTRIBUTE XL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE XL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE YL_AVERAGE NUMERIC 
@ATTRIBUTE YL_VARIANCE NUMERIC 
@ATTRIBUTE YL_STD NUMERIC 
@ATTRIBUTE YL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE YL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_AVERAGE NUMERIC 
@ATTRIBUTE ZL_VARIANCE NUMERIC 
@ATTRIBUTE ZL_STD NUMERIC 
@ATTRIBUTE ZL_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ZL_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_AVERAGE NUMERIC 
@ATTRIBUTE |V|L_VARIANCE NUMERIC 
@ATTRIBUTE |V|L_STD NUMERIC 
@ATTRIBUTE |V|L_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|L_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_XL_YL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_STD_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_STD_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_YL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MIN_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MIN_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_YL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_XL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_ZL NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_YL_|V|L NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ZL_|V|L NUMERIC 
@ATTRIBUTE XL_YL_ZL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE XL_YL_ZL_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_XL_YL NUMERIC 
@ATTRIBUTE CORRELATION_XL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_XL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_YL_ZL NUMERIC 
@ATTRIBUTE CORRELATION_YL_|V|L NUMERIC 
@ATTRIBUTE CORRELATION_ZL_|V|L NUMERIC 
@ATTRIBUTE ROTATION_X_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_X_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_X_STD NUMERIC 
@ATTRIBUTE ROTATION_X_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_X_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Y_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Y_STD NUMERIC 
@ATTRIBUTE ROTATION_Y_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Y_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_AVERAGE NUMERIC 
@ATTRIBUTE ROTATION_Z_VARIANCE NUMERIC 
@ATTRIBUTE ROTATION_Z_STD NUMERIC 
@ATTRIBUTE ROTATION_Z_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE ROTATION_Z_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_STD_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MIN_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE ROTATION_X_ROTATION_Y_ROTATION_Z_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Y NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_X_ROTATION_Z NUMERIC 
@ATTRIBUTE CORRELATION_ROTATION_Y_ROTATION_Z NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
-0.3849,3.1235,1.7674,11.0103,-0.7234,-1.0705,2.8768,1.6961,11.5111,-5.7067,0.081,9.0487,3.0081,14.7668,-0.8698,3.5822,3.5175,1.8755,9.3045,0.0667,0.3596,-4.752,-0.1075,-13.2153,-0.2988,0.0226,1.042,0.5875,0.9423,0.5638,0.9043,1.6039,1.0858,0.3452,0.888,0.3179,0.8178,2.5725,0.4719,0.6728,-6.9492,1.4258,-14.7273,-10.3289,3.7221,0.8089,0.6408,0.2173,0.1722,0.7921,0.9565,0.7456,1.1833,0.7795,1.2372,1.5871,0.0059,5.198,-0.2012,0.2754,0.2149,0.1648,-0.5136,-0.0443,-0.0605,0.0269,0.1642,0.6965,-12.6067,-0.2076,0.0008,0.0281,0.2711,?,-0.887,0.0071,0.084,0.9313,?,0.2915,0.0682,0.234,5.8408,1.9534,0.3344,34.1149,3.8157,0.1118,2.38,0.6929,0.2911,0,0,1,2.5688,0.7479,0.2911,0.0047,1.1821,-0.1338,-0.9554,0.3109,?,?,?,?,?,TASCA_DESTRA_DAVANTI_PANTALONI
1.2968,4.9272,2.2197,7.7188,-0.1045,-0.5505,1.4816,1.2172,5.2871,-1.4476,-0.7208,5.8478,2.4182,10.2949,-1.8308,3.1136,5.0661,2.2508,7.2818,0.0494,-2.3558,-1.799,0.4165,0.7637,-0.1768,-0.2315,1.8236,0.9179,0.9862,0.5033,0.5408,1.0744,3.3257,0.8426,0.9726,0.2534,0.2924,1.1543,0.2336,0.1097,-1.9313,0.4696,-8.2673,-17.6035,3.2351,1.9216,0.9123,0.594,0.282,0.4748,1.4599,0.7498,1.06,0.5136,0.7261,1.4138,0.036,4.7111,0.0733,-0.5556,0.9097,0.0169,-0.1528,-0.6357,0.1077,0.0007,0.0267,0.1516,0.1112,-0.1489,0.0459,0.2142,0.734,?,-0.0329,0.0039,0.0624,0.2451,-1.3009,-0.7234,-3.2714,4.5221,0.1248,0.428,3.4307,0.0156,0.1832,11.7696,-0.0259,-0.137,5.2977,0,1.6021,0,0.2066,0.6188,2.9953,0.0011,0.3136,0.376,0.2646,-0.0922,125000,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.0596,1.7085,1.3071,4.986,-1.4301,-0.2411,2.712,1.6468,6.5049,-0.7164,0.1346,0.3305,0.5749,2.6498,-0.4708,2.0139,0.7749,0.8803,4.1281,0.0754,-0.2473,0.4429,0.0296,-1.7912,-0.1197,0.0668,0.7937,2.2737,1.4849,2.8646,1.8708,0.6531,0.63,5.1695,2.2049,8.2061,3.5,0.4265,1.0807,3.4596,-8.7143,3.2012,-8.0635,-2.5189,0.5414,1.1388,0.4595,2.1035,0.8488,0.4035,0.7665,1.8817,1.2078,2.4549,1.5758,0.6419,0.0014,2.9578,-0.7079,-0.4728,-0.5095,0.5336,0.4307,0.2684,0.6502,0,0.0033,0.0182,0.9723,0.0405,0.0003,0.0186,0.0605,0.0319,-0.515,0.0008,0.0284,0.564,?,16.0678,-1.2624,-0.0786,0.1763,0.1155,0.6549,0.0311,0.0133,0.4289,320.0596,-1.1312,-0.0035,10.4953,0,0,0.3006,0.0323,0.1073,0.0042,1.2057,-0.2071,-0.468,0.7299,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.6448,1.8555,1.3622,6.9454,-0.4434,-0.1423,2.7811,1.6677,7.2157,-1.4785,-0.2797,5.2775,2.2973,11.616,-1.8428,2.8694,2.195,1.4816,7.7054,0.0955,-4.5327,-2.3054,0.2247,0.5086,-0.0496,-0.0975,0.8168,0.5929,0.9194,0.7259,1.1256,1.5506,0.6672,0.3516,0.8453,0.527,1.267,2.4043,0.4957,0.2834,-2.6219,0.5716,-5.2894,-9.2529,1.6528,1.1776,0.5648,0.7125,0.3417,0.4796,0.9625,0.5979,0.9014,0.6212,0.9365,1.5075,0.0036,4.2676,0.4178,0.5174,0.3561,0.6286,-0.2202,-0.128,0.2057,0.0056,0.0749,0.2679,0.3491,-0.0379,0.0302,0.1737,0.5002,-5.6244,0.5322,0.0158,0.1258,0.3958,0.4698,-5.4239,0.3864,-0.0712,0.431,0.5949,1.3804,0.1857,0.3539,1.9055,-0.3383,0.4097,-1.211,5.4502,0.5513,0.1012,0.5355,0.6769,1.264,0.0028,0.8601,-0.9634,0.9047,-0.8422,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.4452,8.4797,2.912,22.2114,-0.3693,-1.5731,11.4495,3.3837,16.6696,-2.1016,-0.1492,11.1579,3.3403,20.262,-0.3568,4.11,16.8905,4.1098,18.8831,0.0119,-0.283,-2.9838,0.1083,10.5433,-0.3828,-0.0363,0.8606,0.8718,0.7085,1.013,0.8233,0.8128,0.7406,0.76,0.502,1.0261,0.6779,0.6606,0.5304,1.1244,-26.2835,2.12,-49.556,-23.3758,3.0181,1.0862,0.8488,0.3599,0.2812,0.7814,1.3324,1.0962,1.1763,0.8227,0.8828,1.073,0.0085,6.284,0.0665,0.657,0.4726,-0.0744,-0.7178,0.4972,0.1738,0.0231,0.152,0.7132,-1.4814,-0.1378,0.0292,0.1709,0.6219,?,-0.2112,0.0108,0.104,0.4694,-1.5895,-1.2612,-0.8227,0.6523,0.8897,1.4624,1.6438,0.7915,2.1387,2.7021,0.6847,1.4778,2.1585,0,1.5856,0,1.1468,1.5195,1.3249,0.0016,0.5867,0.8668,-0.8941,-0.7785,1100,0,0,0,1,TASCA_DESTRA_DIETRO_PANTALONI
0.0413,6.5187,2.5532,18.5595,-0.5763,-1.5006,10.3449,3.2163,15.4098,-2.448,0.15,10.0975,3.1777,19.5851,-0.4182,4.2183,11.4431,3.3828,16.8084,0.0337,-0.0275,0.2753,0.0098,-10.001,-0.3557,0.0356,0.7938,0.8035,0.7548,1.0122,0.9508,0.9394,0.6301,0.6456,0.5697,1.0245,0.904,0.8824,0.6202,1.175,-11.5677,1.8945,-18.6514,-9.8451,2.6345,0.8526,0.6769,0.3236,0.2569,0.7939,1.2044,0.9476,1.1042,0.7868,0.9168,1.1652,0.0079,6.4393,0.1135,0.4975,0.2851,-0.094,-0.6822,0.4472,0.1703,0.0363,0.1905,0.9547,-0.7238,0.2202,0.0308,0.1756,0.8681,-0.7997,0.7884,0.1151,0.3393,1.7365,-0.9345,0.7731,0.216,0.2794,1.0851,0.5614,0.5174,1.1775,0.3152,0.2677,1.0392,0.4779,0.4599,1.1482,0.617,0.5374,1.0998,0.5498,0.4999,0.0043,1.3178,-0.8952,0.4027,-0.1575,1100,0,0,0,1,TASCA_DESTRA_DIETRO_PANTALONI
1.2397,13.0546,3.6131,19.136,-0.3013,-1.9171,14.9165,3.8622,17.3414,-2.6943,0.8046,24.6734,4.9672,24.7741,-0.3108,5.4468,28.8365,5.37,25.0777,0.0141,-0.6467,1.5408,0.2276,-2.3828,-0.352,0.1477,0.9355,0.7274,0.6728,0.7775,0.7192,0.925,0.8752,0.5291,0.4527,0.6046,0.5173,0.8556,0.3503,0.7543,-12.3484,2.1533,-35.2494,-16.3702,3.1327,0.778,0.5781,0.2484,0.1845,0.743,1.1035,0.7724,0.7631,0.7,0.6915,0.9879,0.0125,8.1559,-0.1297,0.7598,0.7883,-0.0648,-0.6099,0.6887,0.2575,0.0523,0.2287,0.8596,-1.1288,-0.1954,0.0176,0.1328,0.5842,?,-0.2085,0.0093,0.0967,0.5286,-1.9395,-1.3177,-1.2348,0.9371,1.7225,2.3657,1.3734,2.9669,5.5964,1.8863,0.7803,1.3068,1.6748,0,2.2454,0,1.4716,1.6261,1.105,0.002,0.7513,0.7142,-0.7265,-0.1014,1100,0,0,0,1,TASCA_DESTRA_DIETRO_PANTALONI
0.0739,10.219,3.1967,19.6808,-0.3204,-1.3989,11.9114,3.4513,16.8686,-6.6903,0.5928,15.2175,3.901,21.6284,-0.5722,4.437,19.9749,4.4693,20.9863,0.0213,-0.0529,0.1247,0.0167,-2.3598,-0.3153,0.1336,0.9262,0.8195,0.7153,0.8847,0.7722,0.8728,0.8579,0.6715,0.5116,0.7827,0.5963,0.7618,0.3254,0.6067,-10.4513,1.8642,-32.1159,-17.2276,6.7952,1.0835,0.6951,0.1595,0.1023,0.6415,1.1667,0.91,0.9378,0.7799,0.8038,1.0306,0.0078,6.6522,-0.5132,0.5834,0.7532,-0.3129,-0.8034,0.5992,0.1512,0.0044,0.066,0.3946,-0.1309,-0.0417,0.0238,0.1544,0.6581,-7.9988,0.3623,0.0062,0.0785,0.4541,0.3613,-3.6302,0.4173,-0.115,0.4275,0.8402,1.9655,0.1827,0.7059,3.863,0.0781,-0.1778,-2.2776,4.7713,0.4908,0.1029,0.5996,0.8689,1.4492,0.002,0.5948,-0.0694,-0.1474,-0.8197,?,?,?,?,?,TASCA_DESTRA_DIETRO_PANTALONI
0.1746,9.4449,3.0733,20.3561,-0.3853,-1.1127,5.0099,2.2383,12.3583,-1.2027,-0.0294,6.96,2.6382,18.6423,-0.5058,4.0757,6.0731,2.4644,18.6995,0.0356,-0.1569,-5.9304,0.0428,37.8024,-0.273,-0.0072,1.373,1.1649,1.2471,0.8484,0.9083,1.0705,1.8852,1.357,1.5552,0.7198,0.8249,1.146,0.8391,0.9042,-8.1959,1.0776,-9.7677,-9.0642,2.619,1.1869,0.7578,0.4532,0.2894,0.6385,1.6472,1.0919,1.0886,0.6629,0.6609,0.9969,0.0061,6.2275,0.1396,0.6411,0.3084,0.0295,-0.3081,0.3062,-0.0935,0.0111,0.1054,0.3721,-2.9449,-0.4308,0.0277,0.1664,0.6634,?,-0.549,0.066,0.2569,0.9684,?,0.217,0.1703,0.7847,0.6334,0.4102,0.6476,0.4012,0.1683,0.4194,0.4186,0.2868,0.6851,0,0,1,0.5608,0.3842,0.6851,0.0038,1.1014,0.3827,-0.7471,-0.4642,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.2864,1.162,1.078,5.3388,-0.7239,-0.2365,0.677,0.8228,3.627,-0.7163,-0.1144,0.4205,0.6484,2.9204,-2.4488,1.3599,0.5612,0.7492,3.2068,0.0114,1.2112,2.5043,-0.2106,2.0677,-0.1739,-0.0841,1.3101,1.6624,1.4389,1.2689,1.0983,0.8655,1.7163,2.7637,2.0704,1.6102,1.2063,0.7492,1.481,1.0811,-60.5555,0.73,-40.8893,-56.0115,1.4655,3.6574,0.9547,2.4957,0.6515,0.261,1.4719,1.8281,1.6649,1.242,1.1311,0.9107,0.0021,2.0431,0.1576,0.0645,-0.1071,-0.483,0.5036,-0.4125,-0.0526,0.0128,0.1133,0.3746,-0.904,-0.7249,0.0005,0.0223,0.7579,?,-0.4802,0.0073,0.0857,0.5625,?,0.0726,0.1096,1.5096,5.0765,1.3228,0.2606,25.7705,1.7497,0.0679,0.2347,0.3162,1.3474,0,0,1,0.4943,0.666,1.3474,0.0047,1.317,-0.6638,0.9438,-0.7684,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
